n_side,dimension,rtol,backend,baseline,n_pairs,paired_ratio_median,paired_ratio_q1,paired_ratio_q3,paired_ratio_iqr
64,4096,1e-07,leja,kiops,12,1.3044624564865703,1.2996096021592995,1.309303523446944,0.009693921287644347
64,4096,1e-07,hybrid,kiops,12,1.124297009434946,1.1205082357651173,1.1285922568666598,0.008084021101542493
64,4096,1e-07,auto,kiops,12,1.3317145661606284,1.3237393780772375,1.341621904272435,0.01788252619519759
64,4096,1e-05,leja,kiops,12,1.3326770762488431,1.3246247706462215,1.3368121125760295,0.012187341929807971
64,4096,1e-05,hybrid,kiops,12,1.1699311827556311,1.1608059694029853,1.1775282781813354,0.016722308778350126
64,4096,1e-05,auto,kiops,12,1.37418222228058,1.3641644331678227,1.3816711659738,0.017506732805977254
128,16384,1e-07,leja,kiops,12,1.1240185685986424,1.1204254999851426,1.126202903800063,0.005777403814920312
128,16384,1e-07,hybrid,kiops,12,1.0824270560143159,1.0789428491297282,1.0878092693049404,0.00886642017521222
128,16384,1e-07,auto,kiops,12,1.1406083671930833,1.1380468029738027,1.144022236600855,0.005975433627052329
128,16384,1e-05,leja,kiops,12,1.1522551335452906,1.1467474269704754,1.160770793919348,0.014023366948872518
128,16384,1e-05,hybrid,kiops,12,1.152928493340586,1.1494672115342988,1.15827414078395,0.008806929249651319
128,16384,1e-05,auto,kiops,12,1.1704194765947586,1.166804461169612,1.1779759954038362,0.011171534234224234
256,65536,1e-07,leja,kiops,12,1.4238280716286114,1.4061485054336356,1.4288489269727527,0.02270042153911711
256,65536,1e-07,hybrid,kiops,12,1.2814905633878264,1.2721028551064752,1.2859075926255659,0.013804737519090615
256,65536,1e-07,auto,kiops,12,1.4456527408029365,1.4185949260907575,1.4520093305421236,0.03341440445136601
256,65536,1e-05,leja,kiops,12,1.405903379151086,1.4009621389944609,1.4073933662600553,0.006431227265594419
256,65536,1e-05,hybrid,kiops,12,1.4359459301346749,1.4279337037757847,1.443382470492317,0.015448766716532392
256,65536,1e-05,auto,kiops,12,1.4184395301505701,1.4113464647987484,1.4205423741099357,0.0091959093111873
